Name,y,x
Nkure,42164,-478520.5
Utokota,-104346.1,-451556.6
Otjitjika,65491.1,-284181.4
Una,103110.4,-326356.7
Vergesig,-48710.5,-301432.7
Okatjawewa,88703.04,-121149.75
Eiseb,-113133,-152753
Maramba,-98011.33,-100629.39
Okatjipiko,56995.92,29221.87
Schwarzeck,33244.91,84181.32
Naunas,-102120.72,80303.95
Swartmodder,88152.81,261583.49
Jagkop,-42279.78,233317.67
Kraat,7820.29,334375.63
Kameel,-62768.74,405228.54
Ysib,93906.57,445531.53
Schroffenstein,26740.6,573865.24
Witberg,90344.35,748307.89
Nakop,-89670.08,670428.06
