Name,Latitude,Longitude
Brandberg,-21.14882875,14.57822167
Moltkeblick,-22.6503746,17.18009293
Orupembe,-18.21126252,12.50713191
Rooikop,-25.08584582,19.62418038
Umenaub,-19.61446503,17.62110245
Schwarzeck,-22.75995013,18.67626345
Kububerhohe,-26.71460701,16.22384574
Enana,-17.48032908,16.33607593
Wachter,-22.47681204,17.12735614
Kaudom,-18.63512565,20.59313317
Gr Schanzberg,-23.35127564,16.21388817
Erongo,-21.68693678,15.81469001
Karasberg,-26.94233943,18.83302617
Spitzkoppe,-21.85591181,15.05257474
Friedensberg,-24.16977222,16.22572028
Omaheke,-22.0513154,19.78203351
Bogenfels,-27.44935254,15.38873768
Sternberg,-22.79682236,16.9995155
Grootberg,-19.85569654,14.35400621
Kapupa,-17.28131705,12.52384474
Karamba,-18.16673355,21.43657897
Trig14,-17.74319277,24.25883428
Schwarzrand,-25.18808711,17.75097509
Nakop,-28.04980141,19.91214042
