Name,Lat_deg,Lat_min,Lat_sec,Lon_deg,Lon_min,Lon_sec
Brandberg,-21,8,55.7835,14,34,41.59801
Moltkeblick,-22,39,1.34856,17,10,48.33455
Orupembe,-18,12,40.54507,12,30,25.67488
Rooikop,-25,5,9.04495,19,37,27.04937
Umenaub,-19,36,52.07411,17,37,15.96882
Schwarzeck,-22,45,35.82047,18,40,34.54842
Kububerhohe,-26,42,52.58524,16,13,25.84466
Enana,-17,28,49.18469,16,20,9.87335
Wachter,-22,28,36.52334,17,7,38.4821
Kaudom,-18,38,6.45234,20,35,35.27941
Gr Schanzberg,-23,21,4.5923,16,12,49.99741
Erongo,-21,41,12.97241,15,48,52.88404
Karasberg,-26,56,32.42195,18,49,58.89421
Spitzkoppe,-21,51,21.28252,15,3,9.26906
Friedensberg,-24,10,11.17999,16,13,32.59301
Omaheke,-22,3,4.73544,19,46,55.32064
Bogenfels,-27,26,57.66914,15,23,19.45565
Sternberg,-22,47,48.5605,16,59,58.2558
Grootberg,-19,51,20.50754,14,34,28.44257
Kapupa,-17,16,52.74138,12,31,25.84106
Karamba,-18,10,0.24078,21,26,11.68429
Trig14,-17,44,35.49397,24,15,31.80341
Schwarzrand,-25,11,17.1136,17,45,3.51032
Nakop,-28,2,59.28508,19,54,43.70551
