Name,East,North
RUAC,417514.093,8076759.169
ONGH,606152.214,8062880.599
PALM,395361.353,7793148.774
OUTJ,604323.912,7795613.979
A005,312987.529,8119134.997
CL25,155693.714,8087936.561
A007,226701.141,8085883.993
A008,463603.042,8072727.618
A009,533276.545,8071641.808
A010,571864.068,8070928.81
A011,644292.969,8068036.024
A012,711337.919,8052715.41
A013,272632.257,8049368.509
A014,343790.873,8056038.366
CL24,160669.83,8020464.416
A016,508294.613,8022504.028
A017,583093.75,8032148.871
A018,601250.495,8022286.652
A019,695981.353,8016501.014
A020,764503.739,8014668.336
CL23,183467.173,7959111.499
A022,241735.71,7990373.582
A023,310372.133,7978626.201
A024,376187.311,8002793.466
A025,434562.026,7987914.288
A026,503164.703,7955397.731
A027,580165.361,7957073.067
A028,670792.401,7965611.874
CL22,229430.571,7912918.543
A030,285226.21,7922662.817
A031,366526.924,7947121.445
A032,428480.619,7930116.409
CL21,258888.508,7855524.241
A034,355903.792,7884837.359
A035,438812.385,7872399.266
A036,517818.462,7901741.055
A037,596739.984,7879237.843
CL20,291744.962,7792840.96
A039,381612.292,7833120.459
A040,482937.889,7831567.448
A041,541794.804,7858015.623
A042,548832.407,7805795.519
A043,659452.357,7843817.667
CL19,315017.445,7754563.069
A045,358671.398,7753854.747
A046,453261.159,7790900.391
A047,494262.98,7748150.589
A048,561868.04,7730612.469
A049,619477.795,7777131.895
A050,332949.121,7696737.785
A051,437124.713,7730445.848
A052,359676.722,7660020.633
1718,818401.765,8049453.148
MUHO,1028796.407,8012626.68
BAKO,1241755.498,7991080.923
KATM,1493145.309,8040259.806
GRTF,822838.787,7835971.416
TSUM,1129794.641,7824116.058
B007,883842.516,8048067.011
B008,950975.383,8021360.781
B009,1110457.025,7994734.825
B010,1196472.601,7986796.9
B011,1282894.073,7992252.255
B012,1367073.658,8011692.254
B013,1438045.525,8013767.75
B014,1419862.773,7961137.316
B015,1457770.77,7978934.9
B016,1532203.162,7992791.02
B017,1577421.166,8001624.628
B018,817450.076,7994660.334
B019,895018.724,7998074.495
B020,966154.817,7973080.395
B021,1059248.09,7980530.586
B022,1108180.5,7944434.422
B023,727957.279,7941165.024
B024,816514.203,7948875.242
B025,810848.515,7918574.478
B026,868795.329,7945155.184
B027,913545.093,7916654.05
B028,996773.252,7915066.26
B029,1046810.177,7881007.878
B030,1100846.488,7878377.453
B031,647835.173,7899154.726
B032,723721.86,7875112.103
B033,784179.875,7867512.417
B034,867638.265,7868115.907
B035,941904.076,7862424.749
B036,995732.888,7844592.461
B037,1075894.548,7824552.412
B038,746678.139,7826977.525
B039,876962.769,7822282.541
B040,714405.848,7786399.134
B041,794428.487,7774957.114
B042,935363.384,7782830.887
B043,1023551.7,7780547.286
C001,384212.051,7615519.413
C002,413988.839,7670788.811
C003,499003.265,7690416.679
C004,486244.089,7653316.898
C005,540883.804,7646034.622
C006,598942.325,7632306.754
C007,655967.349,7627053.025
C008,460566.461,7601913.125
D001,622460.028,7688204.828
D002,673802.519,7733232.315
D003,751984.813,7719372.268
D004,689249.188,7658580.654
D005,746367.598,7667557.342
D006,796980.079,7646800.169
D007,836750.644,7675786.122
F001,441875.742,7465025.151
F002,450820.921,7489346.441
SWAK,455434.441,7492818.757
G002,433220.341,7546552.222
G003,537127.79,7569420.012
G004,499591.235,7519444.597
G005,516164.072,7444016.792
G006,504246.548,7394390.246
H001,587009.423,7573292.234
H002,636009.041,7576065.57
H003,616875.941,7528585.402
H004,576455.766,7478267.379
J001,695892.927,7569090.355
J002,753976.454,7606020.218
WIND,714826.601,7502030.975
FTSM,714487.491,7502453.383
K003,636344.567,7480012.713
K004,685433.529,7499212.39
K005,765614.457,7549491.125
K006,803885.494,7522445.854
K007,772980.264,7460287.678
K008,825374.942,7435941.413
SWZK,877490.586,7478324.294
L002,835958.675,7741207.978
L003,907243.959,7730415.372
L004,985350.756,7708159.192
L005,1073591.975,7711431.347
L006,1108866.16,7750178.899
L007,892038.802,7657354.879
L008,950050.197,7670576.519
L009,1043449.558,7638597.021
L010,1099683.962,7653126.455
L011,837512.63,7587464.776
L012,900181.088,7573892.172
L013,957660.704,7606511.206
L014,978848.472,7573352.227
L015,1038475.311,7574955.447
L016,1086150.145,7613713.149
L017,1120020.134,7560953.539
L018,858868.442,7518011.075
L019,907606.079,7513261.244
L020,961679.289,7522785.601
L021,1014258.586,7527195.173
L022,931402.683,7454735.451
L023,995038.995,7467406.633
L024,966493.341,7424466.657
L025,887679.665,7396282.551
L026,946468.624,7378499.76
L027,1001875.047,7381773.101
L028,861022.644,7348648.947
L029,884102.452,7457610.537
M001,587453.961,7416205.143
M002,656541.13,7422046.404
M003,712506.877,7423335.907
M004,602708.414,7357369.311
M005,665977.904,7368735.598
M006,731912.209,7374529.386
M007,803339.134,7376364.622
M008,693703.247,7326724.208
M009,763814.294,7334793.754
AUSW,599566.763,7058488.406
ROSH,672099.285,6904490.326
N003,447502.324,7395216.526
N004,450828.228,7354812.497
N005,460289.429,7288181.799
N006,485867.249,7221769.002
N007,485198.39,7166936.407
N008,492892.006,7109147.52
N009,617733.507,7114999.329
N010,516543.364,7051790.123
N011,559863.075,7059963.525
N012,625864.92,7050093.51
N013,637841.985,7008581.342
N014,554413.618,6963771.895
N015,662142.503,6969778.431
N016,584839.79,6900303.08
N017,640073.574,6840615.154
N018,672142.707,6872122.152
SESR,581024.898,7291603.569
P002,640935.334,7291550.794
P003,699749.082,7250219.024
P004,618031.501,7199345.539
P005,670130.899,7208518.149
MARI,803721.935,7272518.327
R 2,725035.766,7295549.557
R 3,844126.451,7302285.499
R 4,917759.542,7325095.203
R 5,996825.555,7298062.181
R 6,780053.034,7217394.436
R 7,830074.42,7209112.924
R 8,884887.175,7245726.566
R 9,932979.349,7258772.651
R 10,932837.714,7172801.696
R 11,992410.483,7215520.909
R 12,741394.814,7175635.091
S001,682492.108,7138105.472
S002,677231.904,7054743.343
S003,721387.216,7039399.854
S004,726817.168,6968198.843
MATA,1001480.404,7140460.605
KEET,798455.026,7041017.98
T003,750074.567,7106675.766
T004,811663.21,7133403.671
T005,864807.942,7165996.082
T006,916628.002,7121791.475
T007,813664.549,7054487.792
T008,860257.599,7086632.336
T009,908236.903,7041192.677
T010,961607.089,7077711.946
T011,962662.391,7028257.284
T012,784401.089,7003406.678
T013,858914.38,6992198.294
T014,791766.864,6957486.423
KOEP,812324.559,7056456.216
T015,777936.396,7125134.978
T016,923499.184,6993751.73
RIVE,794190.429,6864730.589
ARIA,975618.502,6879579.008
V003,752609.329,6903960.586
V004,833154.11,6927696.551
V005,918393.056,6949887.561
