Name,Latitude,Longitude
1718,-17.61889111,18.00017929
ARIA,-28.12399129,19.83966391
AUSW,-26.59087929,15.99991969
BAKO,-18.0421342,21.99427305
FTSM,-22.57114979,17.08607791
GRTF,-19.54495314,18.07635639
KATM,-17.5037798,24.32157751
KEET,-26.72039216,17.99995017
MARI,-24.6316832,18.00005333
MATA,-25.76822201,19.99716897
MUHO,-17.91049104,19.98745815
ONGH,-17.51782188,16.00001103
OUTJ,-19.93308572,15.99685126
PALM,-19.95534285,14.00000144
RIVE,-28.31064277,17.99998565
ROSH,-27.9735897,16.74977476
RUAC,-17.39338171,14.22345276
SESR,-24.48714568,15.79964004
SWAK,-22.67114364,14.56618241
SWZK,-22.76031709,18.67525986
TSUM,-19.57825653,20.99629111
WIND,-22.57492041,17.08943187
